"","var","rel.inf"
"IL18RAP","IL18RAP",0
"SYN2","SYN2",0
"CENTG2","CENTG2",0
"DACT2","DACT2",0
"ZFAND1","ZFAND1",0
"KIAA0408","KIAA0408",0
"C9orf72","C9orf72",0
"CXCL2","CXCL2",0
"ELMO1","ELMO1",0
"C20orf199","C20orf199",0
"ASTN1","ASTN1",0
"FOSB","FOSB",0
"PAMCI","PAMCI",0
"PCOLCE2","PCOLCE2",0
"PIGM","PIGM",0
"EDG1","EDG1",0
"ECHDC1","ECHDC1",0
"CLDN11","CLDN11",0
"AQP7P2","AQP7P2",0
"SLC16A7","SLC16A7",0
"GLRX2","GLRX2",0
"FAS","FAS",0
"CRYAB","CRYAB",0
"SLCO3A1","SLCO3A1",0
"MS4A6A","MS4A6A",0
"RASA4","RASA4",0
"ACVR1C","ACVR1C",0
"ANKRD54","ANKRD54",0
"SRGN","SRGN",0
"JARID1B","JARID1B",0
"CPA1","CPA1",0
"TXK","TXK",0
"CAPRIN2","CAPRIN2",0
"PPAP2B","PPAP2B",0
"IL7R","IL7R",0
"COPB1","COPB1",0
"MMD","MMD",0
"KLF15","KLF15",0
"WSB2","WSB2",0
"TOR1AIP2","TOR1AIP2",0
"ENPP6","ENPP6",0
"PLEKHA4","PLEKHA4",0
"GNPAT","GNPAT",0
"PPP2R5E","PPP2R5E",0
"JUN","JUN",0
"TMCC3","TMCC3",0
"INTS6","INTS6",0
"FIGF","FIGF",0
"SAA3P","SAA3P",0
"LDHB","LDHB",0
"MOBKL2B","MOBKL2B",0
"CHI3L1","CHI3L1",0
"HLF","HLF",0
"PBX1","PBX1",0
"C20orf19","C20orf19",0
"TEX13B","TEX13B",0
"IL22RA2","IL22RA2",0
"CD200","CD200",0
"SGK2","SGK2",0
"CD79B","CD79B",0
"ENPP2","ENPP2",0
"CEP68","CEP68",0
"KCNIP1","KCNIP1",0
"PDK4","PDK4",0
"TNFRSF25","TNFRSF25",0
"DOC2A","DOC2A",0
"COPB2","COPB2",0
"C12orf33","C12orf33",0
"SLC2A14","SLC2A14",0
"RALGPS2","RALGPS2",0
"CXorf21","CXorf21",0
"SAA1","SAA1",0
"CCDC69","CCDC69",0
"CHRNA3","CHRNA3",0
"DOK2","DOK2",0
"PREPL","PREPL",0
"BOC","BOC",0
"LOC55908","LOC55908",0
"LPIN1","LPIN1",0
"LOC339524","LOC339524",0
"IL18R1","IL18R1",0
"TMEM88","TMEM88",0
"ANXA1","ANXA1",0
"HLTF","HLTF",0
"RAB3C","RAB3C",0
"CLCN6","CLCN6",0
"MAN2A2","MAN2A2",0
"APEH","APEH",0
"BNIP2","BNIP2",0
"COG2","COG2",0
"KBTBD11","KBTBD11",0
"LRRC34","LRRC34",0
"NRG2","NRG2",0
"PRRC1","PRRC1",0
"KPNA1","KPNA1",0
"ZNF179","ZNF179",0
"CCDC19","CCDC19",0
"NMUR1","NMUR1",0
"MFAP4","MFAP4",0
"CLDN15","CLDN15",0
"ADFP","ADFP",0
"GRASP","GRASP",0
"RBP4","RBP4",0
"SDPR","SDPR",0
"TUSC4","TUSC4",0
"FMNL3","FMNL3",0
"D15Wsu75e","D15Wsu75e",0
"CNTNAP3","CNTNAP3",0
"TPO","TPO",0
"ADH1B","ADH1B",0
"EPHB6","EPHB6",0
"MIF4GD","MIF4GD",0
"C16orf77","C16orf77",0
"ATP6V1D","ATP6V1D",0
"TP63","TP63",0
"BBOX1","BBOX1",0
"HERC2P2","HERC2P2",0
"NUDT9P1","NUDT9P1",0
"GMPPA","GMPPA",0
"C6orf105","C6orf105",0
"DCX","DCX",0
"ENTPD7","ENTPD7",0
"DDI2","DDI2",0
"FAM49A","FAM49A",0
"MME","MME",0
"GALNT10","GALNT10",0
"CR1","CR1",0
"BRI3BP","BRI3BP",0
"FCGR2A","FCGR2A",0
"PAK7","PAK7",0
