"","number","idx","exp","MSE"
"BTNL8",12545,100,-0.63375,1578037.59923698
"SCN1B",11564,21,-0.599625,1578166.37692903
"AGTRAP",11099,222,0.73125,1578206.10782092
"EBAG9",12510,20,-0.151416666666665,1578255.80978438
"PMP2",14763,169,-0.2196875,1578256.18566509
"GRIN3A",523,53,0.536583333333334,1578257.99063489
"KIAA1430",3397,225,0.5310625,1578258.06146562
"RCC1",2704,211,0.8185,1578263.25706165
"GLIS3",9444,219,2.126,1578328.84214383
"MYH2",6773,60,-2.681625,1578388.61192594
"FLJ25006",16377,111,-2.853,1578552.5384789
"LDB2",10522,41,0.3633125,1578576.97647321
"LOC391356",8011,218,0.565749999999999,1578601.10650415
"TTRAP",9428,30,-0.651375,1578783.21718006
"LILRA3",17125,42,-0.0192499999999998,1578825.16533366
"PTPN18",16258,183,1.1069375,1578854.34969958
"PIGS",16953,34,-0.879833333333333,1578866.80861894
"CEACAM8",1194,68,-0.0970999999999998,1578871.21928515
"ENTPD8",13171,47,-0.116357142857143,1578927.85812614
"RBMXL2",13862,20,-0.996999999999998,1578936.29618754
"PIP",12807,236,6.981375,1578993.79484232
"MANSC1",16063,28,0.874375,1579150.13139655
"WSB2",6334,45,-0.5675625,1579155.58289534
"NXPH3",7735,25,0.0880000000000001,1579193.10035732
"HSD17B14",14012,22,0.653166666666666,1579227.54011389
"ASPA",12245,53,0.52,1579302.23772372
"PHLDB2",11858,165,-0.0480625000000003,1579326.52700426
"C14orf109",9860,41,-0.41425,1579343.42385596
"HEXB",10219,38,-0.642250000000001,1579344.66211843
"CCDC19",8205,191,2.58166666666666,1579359.14813586
"C4orf20",13443,106,0.0927499999999997,1579363.33477719
"RG9MTD3",15469,221,0.3685,1579372.84544137
"RPL38",1007,143,0.0735,1579397.65692245
"ZNF738",9017,57,-1.3665625,1579442.9953054
"DGCR6",1895,21,-0.0997500000000007,1579542.05302064
"FANCF",3747,223,1.60875,1579558.46643547
"CCL24",12421,152,0.3845,1579559.2952121
"IFNAR2",5333,46,-0.61225,1579795.58409137
"CCDC100",3648,40,-0.44415,1579859.77496622
"RPS13",10058,114,-0.42015,1579878.22936503
"ZNF546",16621,114,-0.0536249999999999,1579901.83886962
"MKRN3",1912,21,-3.03066666666666,1579966.32351141
"CATSPER2",10690,233,0.0760000000000004,1580026.98320463
"RGS18",11332,42,2.05825,1580054.26774179
"C11orf56",14009,230,0.646625,1580161.77417516
"KLRF1",1602,20,-0.434916666666667,1580288.99882581
"C1orf93",15552,236,1.6785,1580324.47291494
"FAM133B",5635,221,0.273178571428572,1580377.205698
"POP7",2603,223,0.458875,1580384.97567646
"PTGER4",15683,28,-0.585500000000001,1580405.16151957
"TAX1BP3",2915,44,-1.05275,1580524.01941607
"LTF",8423,35,1.21771428571428,1580524.06341691
"SCARF1",11900,57,1.250375,1580599.64046445
"SOD3",5602,25,-1.232375,1580602.18458396
"NOS1",9920,171,0.41975,1580618.24717661
"CISD2",16644,50,-0.901499999999999,1580662.0840333
"C17orf71",1364,20,-0.905333333333332,1580662.79262589
"YIPF2",4616,220,1.0845,1580693.50038678
"TMEM16H",7826,223,0.88325,1580735.76808189
"C3orf37",12401,27,-0.5825625,1580740.72063567
"ERGIC2",11838,22,-0.438166666666666,1580743.18845779
"CHMP1B",13172,43,-0.246875,1580818.96509652
"C1orf53",9589,208,0.851125000000001,1580826.23111509
"SLC9A9",13210,20,-0.459625000000001,1580861.8014201
"C16orf70",5324,117,-0.46875,1580898.62043169
"ASNA1",11406,223,0.373625,1580900.49072061
"FANK1",4293,223,3.08275,1581042.42047737
"RANBP10",1921,20,-0.627,1581060.56819751
"KDR",8215,69,2.62085,1581060.95502913
"NAT9",16857,170,-0.303750000000001,1581139.18490886
"OBP2B",7592,114,0.691999999999999,1581200.4542532
"CENTB2",6896,95,0.553583333333333,1581233.59955546
"TBC1D2B",5772,116,0.19925,1581249.83606012
"PSMD7",8580,23,-1.61283333333334,1581285.735281
"HAPLN3",16043,27,-0.18625,1581312.06916339
"LRRC4B",8400,31,-0.9995,1581323.39846591
"HSPG2",12942,85,0.3925,1581337.3832536
"C6orf142",5129,40,-1.0345,1581346.12014478
"S100B",11256,33,-3.35291666666666,1581347.1600094
"C10orf107",11108,227,1.41991666666667,1581348.6891369
"MGC12966",16429,59,-0.20675,1581417.32487361
"CARM1",3854,168,0.58575,1581432.25816349
"RTN4",6025,96,-0.0416666666666673,1581434.50750819
"SLCO3A1",5627,21,-1.473,1581644.47427469
"ZMYM4",13836,203,0.470583333333334,1581720.78815056
"CAV2",906,20,-1.5135625,1581721.37622305
"GINS3",14147,33,-1.7251875,1581723.80240545
"TMEM109",14833,31,-0.5119,1581857.34649962
"POU2AF1",1223,23,-4.58625,1581858.71281974
"HVCN1",15362,60,0.869,1581875.27531604
"RCOR2",16504,208,0.787166666666666,1581907.08140688
"PTPN5",8912,121,-0.072416666666667,1581907.33552314
"PELI1",1514,138,0.740083333333333,1581924.44169976
"CHRNB2",13252,80,-0.0593750000000007,1581935.23807559
"C11orf1",4098,229,0.699875,1582011.85254275
"ZRF1",5341,197,-0.67425,1582042.23459888
"ARFRP1",4657,25,-1.18241666666666,1582093.17444816
"GRB2",138,67,-0.2085,1582127.77182637
"C20orf195",7693,218,0.64575,1582143.93084782
"HIST1H3J",9766,187,0.881250000000001,1582155.74691395
"PRKACG",4038,27,-0.13225,1582160.36148948
"LOC619208",763,232,1.24908333333333,1582181.97996769
"DGCR2",4299,30,0.170666666666667,1582233.18617231
"PELO",1213,38,-0.954625,1582273.48710869
"REM1",17164,95,0.46125,1582366.32083333
"HPS4",15391,60,-0.9004,1582387.59011233
"DOCK8",1206,58,0.556249999999999,1582423.82822997
"FLJ20581",12320,102,0.48025,1582425.04545311
"STEAP2",4024,233,3.74578571428571,1582434.43975684
"FGL2",7676,36,4.44875,1582438.48780518
"MRFAP1",2728,67,0.0215833333333334,1582452.27803238
"FAM122C",4111,166,-0.53225,1582494.4986859
"C20orf142",16171,232,0.533999999999999,1582504.34235138
"RNF19B",1390,24,0.416416666666668,1582547.73327453
"C19orf60",1969,162,0.215583333333334,1582575.74455099
"NSUN6",2953,189,0.8075,1582613.47493568
"RPLP2",13514,170,0.302312500000001,1582631.78076975
"NLRC4",14125,22,2.349625,1582684.89627304
"CIC",6121,211,0.971875000000001,1582702.21273583
"C1orf94",12890,49,-2.3065,1582758.56076918
"KBTBD10",13790,159,0.994249999999999,1582790.23068745
"tcag7.1017",4840,56,-0.888125,1582816.17888597
"DEXI",5331,233,0.785333333333333,1582818.21820093
"DCXR",13867,218,1.33925,1582821.23324778
"MAP4K1",10111,41,-0.924,1582925.60999483
