"","number","idx","exp","MSE"
"FAM134B",4403,231,2.1411875,1877491.85643845
"TMEM111",5474,85,-0.1432,1877596.72354884
"BCAS1",12684,297,1.055,1877611.80358043
"GATA2",13884,111,-1.74525,1877613.2422747
"CXCL2",5019,292,-0.274949999999999,1877624.85569622
"MRPL43",14604,49,0.167857142857144,1877628.96105395
"TGFB2",14106,404,2.7283125,1877673.76834737
"SC5DL",12846,23,-1.245875,1877681.06105539
"LYPLA1",9933,61,-0.899833333333335,1877737.96066489
"GSPT2",16856,391,0.745333333333332,1877746.07173285
"PLS1",5780,26,-2.06141666666667,1877746.36175809
"LOXL3",6244,153,-2.4465,1877760.58353824
"ZNF167",8048,253,0.602749999999999,1877793.46634254
"MTA2",14111,209,0.27075,1877796.53393868
"SERPINB5",16252,209,-0.924291666666669,1877927.85444277
"STMN2",5363,69,2.29525,1877928.66129157
"MFSD5",12877,191,0.67025,1877956.93015838
"ZSCAN22",17203,113,0.312999999999999,1877991.90963807
"STRN3",13457,90,-0.114642857142858,1878037.77673203
"EDN3",3590,249,1.2035,1878224.8557896
"HAGH",6863,182,0.1468125,1878299.35236196
"REG1A",15949,383,0.635375000000006,1878308.55211484
"RELB",16009,378,2.11575,1878365.46011691
"SEC23B",11953,188,0.181249999999999,1878392.01477156
"GPR160",4836,63,-0.490500000000002,1878475.64925413
"STC1",1370,56,-1.22704166666667,1878650.99698421
"FLJ35773",12586,405,5.34750000000001,1878688.27704887
"PCMT1",7799,22,-1.44757142857143,1878722.8316876
"FLJ22222",2499,305,0.5601,1878794.25016512
"OSBPL2",15985,179,0.33725,1878836.23649899
"CEACAM19",860,390,1.48625,1878884.7597373
"RBM16",641,402,0.990874999999999,1878993.23217313
"PRKCD",5693,284,1.786375,1879011.28131802
"ITGB8",2644,179,-0.115428571428571,1879023.35771163
"LCN2",6416,229,1.72033333333333,1879087.07553691
"KCNE1L",3709,256,-0.426642857142857,1879105.06121466
"ARHGEF9",8833,361,1.07435,1879116.29180646
"RAB1B",4396,96,-0.477750000000002,1879118.13941753
"STAC",8571,240,-1.3838,1879140.82523052
"PRKAG2",5934,160,1.1205,1879145.60409494
"GPR153",2261,298,1.074625,1879168.94286973
"BAHCC1",6610,393,0.61666666666667,1879205.39914639
"LCN6",10645,21,0.169249999999998,1879317.80215148
"ZCCHC5",6621,221,0.5705,1879364.60981354
"PER3",14513,24,-1.237,1879438.77392599
"C4orf34",9644,37,-0.618125000000004,1879466.46313023
"HOXD1",14550,24,-1.72583333333334,1879471.77139993
"KIAA0196",10086,345,1.23625,1879539.93483164
"KIAA0020",4478,364,0.301416666666667,1879568.42519321
"PRPF38A",17056,385,-0.235625000000002,1879578.96042337
"LUM",2792,150,1.48354166666667,1879616.71320709
"MPHOSPH10",15788,356,0.382749999999999,1879617.14504437
"OXR1",10210,75,0.205749999999999,1879647.72241717
"C20orf3",16561,62,-0.316500000000002,1879684.84072071
"CD1D",16276,25,-2.3154375,1879742.40434568
"KIAA1467",8421,157,0.361375000000001,1879799.25744444
"FLJ21986",9675,28,-3.1999375,1879862.76622576
"SPPL2A",2829,94,-0.413833333333334,1879872.12277043
"RAD51C",12287,267,-1.323125,1879898.73527273
"C14orf169",12153,374,1.80275,1879965.29584906
"UPK2",15555,358,0.302375,1880011.02204573
"CSGlcA-T",3048,384,1.1755,1880063.96090221
"NUP153",3457,20,-1.466125,1880094.27499716
"C4orf29",4525,31,-1.64025,1880104.73409179
"PLXNB2",9519,22,-0.0950625000000021,1880269.48829126
"LY6D",13968,365,1.95608333333333,1880316.42727054
"CDC37L1",3565,131,0.808999999999999,1880344.30010491
"GTPBP1",92,327,-0.0291428571428576,1880445.44815789
"SELM",7484,393,3.629625,1880451.71909174
"KIAA1166",9923,383,0.542249999999999,1880476.5305134
"PAMCI",5293,196,-2.46416666666666,1880505.04329755
"LOC339809",13118,339,1.23725,1880507.88668349
"FXR2",15820,27,-1.3145,1880526.12307992
"FTSJ2",2119,41,-0.973333333333333,1880551.60396645
"GRB2",138,179,0.10565,1880588.89075156
"SNX9",15830,192,0.361124999999999,1880732.47234576
"TMEM163",4090,393,2.47275,1880736.55561204
"NOL1",4494,373,-0.10125,1880765.67034859
"ACAN",2662,172,1.086625,1880812.21234964
"TNRC15",723,393,1.44775,1880826.47515229
"LPO",10891,20,-0.6075,1880862.2431679
"FZD4",9747,23,-1.332,1880893.99004181
"FANCE",17166,37,-2.19325,1880957.87363973
"SLC34A2",4168,157,0.8126,1881025.33303531
"C12orf44",15360,27,-0.621916666666666,1881052.13537273
"MAP3K7IP2",4986,43,-0.183124999999999,1881141.86295295
"TSC22D3",16412,44,0.626874999999999,1881163.89045011
"USP42",181,400,0.711687499999997,1881206.6710033
"FLJ32549",11320,114,-0.293625,1881229.5160406
"IDH3B",10815,55,-1.16525,1881241.40596702
"EIF2S2",2006,21,-1.40855,1881245.75134393
"C12orf41",9340,25,-1.17891666666667,1881263.66196497
"OR11L1",331,363,0.95425,1881295.32419496
"RNF183",12963,176,-0.452833333333333,1881387.70293153
"ZNF768",16020,165,-0.0905000000000013,1881488.96035498
"TMEM70",11471,84,-0.306625,1881565.82729832
"ICK",3804,229,0.6335625,1881707.16897775
"TTC30A",12986,55,0.516875000000001,1881785.53362424
"PRDX3",10377,34,-1.10625,1881792.72241015
"CCDC49",4936,54,-0.700949999999999,1881871.18679994
"KCNJ11",976,85,0.274749999999999,1881884.65384583
"GCHFR",10279,139,-1.0205,1881888.79314635
"MOBKL2B",6728,390,1.33015,1881917.24897157
"OR5M8",1678,188,0.25975,1881972.05439474
"PNMA3",9748,181,-0.789833333333332,1881992.96245916
"LOC255374",16731,388,1.46175,1882012.925573
"SLC9A3R1",226,101,0.179562499999999,1882047.34081018
"HSPA2",337,402,3.098375,1882105.60955622
"YIPF5",15031,69,0.0578333333333335,1882173.83783407
"CCNK",6928,406,0.6025,1882199.64628829
"APBB2",11,292,1.65625,1882207.94000646
"PZP",16165,32,-0.332708333333334,1882225.44432774
"CCT2",14225,234,-0.736875,1882236.4456129
"MAP7D1",1011,27,-0.539750000000001,1882302.68044319
"RAB17",5973,26,-1.68025,1882325.34732992
"EPB41L3",9162,54,-1.396125,1882335.04029931
"RWDD2A",2272,215,0.245124999999997,1882337.13663073
"HOOK2",12633,20,-1.012,1882374.2535139
"DKFZp434K1815",8294,391,-0.430749999999998,1882404.65696506
"PIK3C2G",6943,166,1.08875,1882406.48778986
"C2orf13",2349,402,1.36708333333334,1882414.8966887
"PSMD7",8580,28,-1.67177777777778,1882427.0085387
"LRRC8B",11637,339,0.662999999999999,1882430.43793937
"C1orf173",11439,376,2.5825,1882438.09589143
"OR5T2",7091,30,-0.200999999999999,1882438.43315504
"POLR2J2",14953,269,-0.407416666666667,1882446.56784979
"ZCCHC7",16579,77,-0.346071428571429,1882460.08052505
"CEP72",13503,393,-0.286125,1882478.70716738
"GLUD2",14171,46,-1.086,1882597.66663533
"SRD5A2L",3635,133,0.280375,1882659.30423605
"C7orf44",13071,106,-1.35816666666666,1882671.30328013
"RPL13",10591,126,-0.7715,1882748.7021829
"CBX4",9349,267,0.468749999999999,1882775.32963119
"ADAT1",13898,24,-1.7804,1882782.57750458
"CBLL1",8868,374,0.0982499999999992,1882882.65288589
"C15orf2",13697,77,-0.236749999999999,1882986.5800108
"GLT8D3",1608,130,-0.4004375,1883024.06050276
"AP4B1",14367,386,-0.061,1883040.64842022
"HSD17B2",15194,304,-0.912499999999997,1883110.17257622
"IQSEC1",1813,189,0.1479375,1883170.84087311
"ACTC1",2386,272,-0.31415,1883215.06457221
"LGR4",8662,253,-0.0588124999999994,1883233.08836387
"IL11RA",4366,40,-0.495249999999999,1883255.13063357
"MRPL19",9963,399,0.285812500000002,1883261.64079974
"FGFBP1",11375,244,-2.45,1883362.47386283
"FLJ12331",15997,125,-0.813499999999998,1883384.36931282
"CNNM3",5318,127,-0.0505000000000002,1883401.38354025
"TCF7L1",11412,394,2.87831250000001,1883411.75600123
"ARID5A",8988,274,1.01975,1883532.2082237
"TTC5",1408,20,-1.032875,1883538.56323313
"TCHH",3388,20,-1.79125,1883590.99216393
"RCL1",10918,259,0.109875000000003,1883592.38724534
"DAZAP2",2869,242,1.185,1883655.62732538
"PFTK1",4738,350,1.14733333333333,1883695.30152685
"USP10",14247,30,-1.48925,1883723.79773643
"HYAL4",7296,27,-0.42475,1883739.40116482
"SPATA2L",14859,225,0.32475,1883749.99260796
"FXYD5",13691,371,0.705166666666665,1883787.43457308
