"","mutO","mutX","MSE"
"FAM83A",3,401,1451645.73259508
"DYRK3",3,401,1451646.96255236
"SLC12A4",2,402,1451649.46685508
"BMP1",2,402,1451651.98052436
"SRP68",2,402,1451651.98052436
"EIF2B2",2,402,1451651.98052436
"OIT3",2,402,1451651.98052436
"SLAIN2",2,402,1451651.98052436
"HIF3A",2,402,1451651.98052436
"SATB2",2,402,1451651.98052436
"PSEN1",2,402,1451651.98052436
"TICRR",2,402,1451651.98052436
"ANKRD35",2,402,1451651.98052436
"TTI2",2,402,1451651.98052436
"CCL26",2,402,1451651.98052436
"EDIL3",2,402,1451651.98052436
"FAM189B",2,402,1451651.98052436
"IFNA8",2,402,1451651.98052436
"OR51V1",2,402,1451651.98052436
"PLA2G2A",2,402,1451651.98052436
"PLCD4",2,402,1451651.98052436
"PTGR1",2,402,1451651.98052436
"RFWD3",2,402,1451651.98052436
"RNF144B",2,402,1451651.98052436
"SEC62",2,402,1451651.98052436
"TAZ",2,402,1451651.98052436
"TCEB3CL2",2,402,1451651.98052436
"TMEM177",2,402,1451651.98052436
"TMEM184C",2,402,1451651.98052436
"TMEM79",2,402,1451651.98052436
"TMEM95",2,402,1451651.98052436
"VDAC1",2,402,1451651.98052436
"WIPI2",2,402,1451651.98052436
"ZKSCAN5",2,402,1451651.98052436
"TRDMT1",2,402,1451651.98052436
"PRR4",2,402,1451651.98052436
"PARVB",2,402,1451651.98052436
"RFTN1",2,402,1451651.98052436
"XKRX",2,402,1451651.98052436
"FAM107B",2,402,1451653.99988301
"TSG101",3,401,1451654.37513477
"TRIM25",4,400,1451655.6689604
"COL8A1",5,399,1451657.32947964
"AGL",3,401,1451658.07893221
"EFCAB6",5,399,1451663.07896722
"A2ML1",6,398,1451664.52341534
"CACNA1H",4,400,1451665.29875619
"WDR36",3,401,1451665.48153955
"AOX1",6,398,1451667.14918445
"STX17",3,401,1451669.18034946
"ITGB6",2,402,1451670.09219373
"PXDN",9,395,1451670.7414839
"MAN2C1",3,401,1451672.87749685
"UTRN",8,396,1451673.08742437
"OR1L6",2,402,1451674.61389217
"METTL23",4,400,1451674.91730198
"L3MBTL3",6,398,1451675.02146666
"TRIO",9,395,1451675.04190862
"FAM75D1",9,395,1451675.04190862
"IFT52",3,401,1451676.57298174
"PKHD1",12,392,1451680.62795093
"OR10D3",2,402,1451681.14581178
"PROX2",4,400,1451681.32341584
"KRT71",2,402,1451683.64982636
